Title,Type,"Start time","End time",Graduation,Status
Introdução,Lesson,"2021-08-27 13:44:33","2021-08-27 13:44:33",,Completed
"Avaliação de conhecimentos prévios",Quiz,"2021-08-27 13:47:12","2021-08-27 13:51:45",Passed,Completed
"Avaliação de conhecimentos prévios (Parte 2)",Quiz,"2021-08-27 13:51:56","2021-08-27 13:55:00",Passed,Completed
"Construção geométrica: Curvas e Lugar geométrico",Lesson,"2021-08-27 14:00:20","2021-08-27 14:00:20",,Completed
"Mecanismos que descrevem movimentos harmônicos",Lesson,"2021-08-27 14:01:25","2021-08-27 14:01:25",,Completed
"Projeto de Mecanismo para desenhar padrões de Lissajous",Lesson,"2021-08-27 14:04:08","2021-08-27 14:04:08",,Completed
"Avaliação Final (Parte 1)",Quiz,"2021-08-27 14:04:22","2021-08-27 14:06:16",Passed,Completed
"Avaliação Final (Parte 2)",Quiz,"2021-08-27 14:06:26","2021-08-27 14:07:29",Failed,Completed
"Avaliação Final (Parte 3)",Quiz,"2021-08-27 14:07:49","2021-08-27 14:09:47",Failed,Completed
"Avaliação Final (Parte 4)",Quiz,"2021-08-27 14:10:00","2021-08-27 14:11:33",Failed,Completed
"Questionário Parte 1",Lesson,"2021-08-27 14:12:43","2021-08-27 14:12:43",,Completed
"Questionário Parte 2",Lesson,"2021-08-27 14:13:07","2021-08-27 14:13:07",,Completed
