Title,Type,"Start time","End time",Graduation,Status
"Avaliação de conhecimentos prévios",Quiz,"2020-10-16 17:56:56","2020-10-16 18:02:18",Passed,Completed
"Avaliação de conhecimentos prévios (Parte 2)",Quiz,"2020-10-16 18:02:33","2020-10-16 18:03:57",Passed,Completed
"Avaliação Final (Parte 1)",Quiz,"2020-10-16 18:04:33","2020-10-16 18:05:33",Failed,Completed
"Questionário Parte 1",Lesson,"2020-10-16 18:07:17","2020-10-16 18:07:17",,Completed
"Vamos nos conhecer um pouco",Lesson,"2020-10-16 18:07:53","2020-10-16 18:07:53",,Completed
Introdução,Lesson,"2020-10-16 18:08:01","2020-10-16 18:08:01",,Completed
"Construção geométrica: Curvas e Lugar geométrico",Lesson,"2020-10-16 18:09:56","2020-10-16 18:09:56",,Completed
"Mecanismos que descrevem movimentos harmônicos",Lesson,"2020-10-16 18:10:19","2020-10-16 18:10:19",,Completed
"Projeto de Mecanismo para desenhar padrões de Lissajous",Lesson,"2020-10-16 18:10:24","2020-10-16 18:10:24",,Completed
"Questionário Parte 2",Lesson,"2020-10-16 18:10:36","2020-10-16 18:10:36",,Completed
"Avaliação Final (Parte 2)",Quiz,"2020-10-16 18:10:51","2020-10-16 18:13:59",Failed,Completed
"Avaliação Final (Parte 3)",Quiz,"2020-10-16 18:14:42","2020-10-16 18:19:04",Passed,Completed
"Avaliação Final (Parte 4)",Quiz,"2020-10-16 18:19:22","2020-10-16 18:21:01",Failed,Completed
