Title,Type,"Start time","End time",Graduation,Status
Introdução,Lesson,"2021-08-26 17:40:32","2021-08-26 17:40:32",,Completed
"Avaliação de conhecimentos prévios",Quiz,"2021-08-26 17:40:44","2021-08-26 17:42:32",Passed,Completed
"Avaliação de conhecimentos prévios (Parte 2)",Quiz,"2021-08-26 17:43:29","2021-08-26 17:46:21",Passed,Completed
"Construção geométrica: Curvas e Lugar geométrico",Lesson,"2021-08-26 17:51:40","2021-08-26 17:51:40",,Completed
"Projeto de Mecanismo para desenhar padrões de Lissajous",Lesson,"2021-08-26 17:54:09","2021-08-26 17:54:09",,Completed
"Mecanismos que descrevem movimentos harmônicos",Lesson,"2021-08-26 17:58:35","2021-08-26 17:58:35",,Completed
"Avaliação Final (Parte 1)",Quiz,"2021-08-26 17:58:56","2021-08-26 18:19:21",Passed,Completed
"Avaliação Final (Parte 2)",Quiz,"2021-08-26 18:23:33","2021-08-26 18:36:58",Failed,Completed
"Avaliação Final (Parte 3)",Quiz,"2021-08-27 14:09:58","2021-08-27 14:13:31",Passed,Completed
"Avaliação Final (Parte 4)",Quiz,"2021-08-27 14:13:47","2021-08-27 14:43:58",Passed,Completed
"Questionário Parte 1",Lesson,"2021-08-27 14:54:49","2021-08-27 14:54:49",,Completed
"Questionário Parte 2",Lesson,"2021-08-27 14:54:54","2021-08-27 14:54:54",,Completed
