Title,Type,"Start time","End time",Graduation,Status
"Vamos nos conhecer um pouco",Lesson,"2021-08-24 15:53:18","2021-08-24 15:53:18",,Completed
Introdução,Lesson,"2021-08-24 15:55:30","2021-08-24 15:55:30",,Completed
"Avaliação de conhecimentos prévios",Quiz,"2021-08-24 15:55:37","2021-08-24 15:58:30",Passed,Completed
"Avaliação de conhecimentos prévios (Parte 2)",Quiz,"2021-08-25 18:18:25","2021-08-25 18:19:19",Passed,Completed
"Construção geométrica: Curvas e Lugar geométrico",Lesson,"2021-08-25 18:25:12","2021-08-25 18:25:12",,Completed
"Mecanismos que descrevem movimentos harmônicos",Lesson,"2021-08-25 18:25:16","2021-08-25 18:25:16",,Completed
"Projeto de Mecanismo para desenhar padrões de Lissajous",Lesson,"2021-08-25 18:28:01","2021-08-25 18:28:01",,Completed
"Avaliação Final (Parte 1)",Quiz,"2021-08-25 18:30:21","2021-08-25 18:35:14",Passed,Completed
"Avaliação Final (Parte 2)",Quiz,"2021-08-25 18:35:20","2021-08-25 18:46:33",Failed,Completed
"Avaliação Final (Parte 3)",Quiz,"2021-08-25 18:46:43","2021-08-25 18:48:08",Passed,Completed
"Avaliação Final (Parte 4)",Quiz,"2021-08-25 18:48:17","2021-08-25 18:52:02",Passed,Completed
