Title,Type,"Start time","End time",Graduation,Status
"Vamos nos conhecer um pouco",Lesson,"2021-08-27 02:26:53","2021-08-27 02:26:53",,Completed
Introdução,Lesson,"2021-08-27 02:31:37","2021-08-27 02:31:37",,Completed
"Avaliação de conhecimentos prévios",Quiz,"2021-08-27 02:31:48","2021-08-27 02:37:25",Passed,Completed
"Avaliação de conhecimentos prévios (Parte 2)",Quiz,"2021-08-27 02:37:37","2021-08-27 02:40:36",Passed,Completed
"Construção geométrica: Curvas e Lugar geométrico",Lesson,"2021-08-27 02:45:48","2021-08-27 02:45:48",,Completed
"Mecanismos que descrevem movimentos harmônicos",Lesson,"2021-09-09 18:50:03","2021-09-09 18:50:03",,Completed
"Projeto de Mecanismo para desenhar padrões de Lissajous",Lesson,"2021-09-09 18:51:33","2021-09-09 18:51:33",,Completed
"Avaliação Final (Parte 1)",Quiz,"2021-09-09 18:51:44","2021-09-09 19:07:42",Failed,Completed
"Avaliação Final (Parte 2)",Quiz,"2021-09-09 19:10:56","2021-09-09 20:04:50",Failed,Completed
"Avaliação Final (Parte 3)",Quiz,"2021-09-09 20:45:59","2021-09-09 20:51:21",Passed,Completed
"Avaliação Final (Parte 4)",Quiz,"2021-09-09 20:52:51","2021-09-09 21:12:16",Passed,Completed
