Title,Type,"Start time","End time",Graduation,Status
Introdução,Lesson,"2020-10-16 17:55:28","2020-10-16 17:55:28",,Completed
"Vamos nos conhecer um pouco",Lesson,"2020-10-16 17:55:37","2020-10-16 17:55:37",,Completed
"Avaliação de conhecimentos prévios",Quiz,"2020-10-16 17:55:43","2020-10-16 17:57:17",Passed,Completed
"Avaliação de conhecimentos prévios (Parte 2)",Quiz,"2020-10-16 17:57:28","2020-10-16 17:58:45",Passed,Completed
"Construção geométrica: Curvas e Lugar geométrico",Lesson,"2020-10-16 18:00:32","2020-10-16 18:00:32",,Completed
"Mecanismos que descrevem movimentos harmônicos",Lesson,"2020-10-16 18:01:28","2020-10-16 18:01:28",,Completed
"Projeto de Mecanismo para desenhar padrões de Lissajous",Lesson,"2020-10-16 18:01:43","2020-10-16 18:01:43",,Completed
"Avaliação Final (Parte 1)",Quiz,"2020-10-16 18:01:46","2020-10-16 18:08:41",Passed,Completed
"Avaliação Final (Parte 2)",Quiz,"2020-10-16 18:08:54","2020-10-16 18:13:47",Failed,Completed
"Avaliação Final (Parte 3)",Quiz,"2020-10-16 18:14:49","2020-10-16 18:32:19",Passed,Completed
"Avaliação Final (Parte 4)",Quiz,"2020-10-16 18:32:39","2020-10-16 18:51:21",Passed,Completed
"Questionário Parte 1",Lesson,"2020-10-16 18:51:35","2020-10-16 18:51:35",,Completed
"Questionário Parte 2",Lesson,"2020-10-16 18:51:38","2020-10-16 18:51:38",,Completed
