Title,Type,"Start time","End time",Graduation,Status
"Avaliação de conhecimentos prévios",Quiz,"2021-08-21 21:11:06","2021-08-21 21:11:54",Passed,Completed
"Avaliação de conhecimentos prévios (Parte 2)",Quiz,"2021-08-21 21:12:05","2021-08-21 21:13:13",Passed,Completed
"Construção geométrica: Curvas e Lugar geométrico",Lesson,"2021-11-23 19:21:37","2021-11-23 19:21:37",,Completed
"Vamos nos conhecer um pouco",Lesson,"2021-11-23 19:21:48","2021-11-23 19:21:48",,Completed
Introdução,Lesson,"2021-11-23 19:21:58","2021-11-23 19:21:58",,Completed
"Mecanismos que descrevem movimentos harmônicos",Lesson,"2021-11-23 19:22:37","2021-11-23 19:22:37",,Completed
"Projeto de Mecanismo para desenhar padrões de Lissajous",Lesson,"2021-11-23 19:25:38","2021-11-23 19:25:38",,Completed
"Avaliação Final (Parte 1)",Quiz,"2021-11-23 19:25:44","2021-11-23 19:27:36",Failed,Completed
"Avaliação Final (Parte 2)",Quiz,"2021-11-23 19:27:58","2021-11-23 19:30:00",Failed,Completed
"Avaliação Final (Parte 3)",Quiz,"2021-11-23 19:30:21","2021-11-23 19:30:51",Failed,Completed
"Avaliação Final (Parte 4)",Quiz,"2021-11-23 19:31:04","2021-11-23 19:31:27",Passed,Completed
"Questionário Parte 2",Lesson,"2021-11-23 19:34:06","2021-11-23 19:34:06",,Completed
"Questionário Parte 1",Lesson,"2021-11-23 19:34:13","2021-11-23 19:34:13",,Completed
