Title,Type,"Start time","End time",Graduation,Status
Introdução,Lesson,"2020-10-16 18:19:18","2020-10-16 18:19:18",,Completed
"Avaliação de conhecimentos prévios",Quiz,"2020-10-16 18:19:24","2020-10-16 18:24:55",Passed,Completed
"Avaliação de conhecimentos prévios (Parte 2)",Quiz,"2020-10-16 18:43:34","2020-10-16 18:49:22",Passed,Completed
"Construção geométrica: Curvas e Lugar geométrico",Lesson,"2020-10-16 18:51:28","2020-10-16 18:51:28",,Completed
"Mecanismos que descrevem movimentos harmônicos",Lesson,"2020-10-16 18:52:10","2020-10-16 18:52:10",,Completed
"Projeto de Mecanismo para desenhar padrões de Lissajous",Lesson,"2020-10-16 18:53:30","2020-10-16 18:53:30",,Completed
"Avaliação Final (Parte 1)",Quiz,"2020-10-16 18:53:36","2020-10-16 19:00:42",Failed,Completed
"Avaliação Final (Parte 2)",Quiz,"2020-10-16 19:00:52","2020-10-16 19:03:00",Failed,Completed
"Avaliação Final (Parte 3)",Quiz,"2020-10-16 19:05:24","2020-10-16 19:08:51",Failed,Completed
"Avaliação Final (Parte 4)",Quiz,"2020-10-16 19:08:57","2020-10-16 19:11:01",Passed,Completed
