Title,Type,"Start time","End time",Graduation,Status
"Avaliação de conhecimentos prévios",Quiz,"2020-11-16 21:47:10","2020-11-16 21:50:15",Passed,Completed
"Avaliação de conhecimentos prévios (Parte 2)",Quiz,"2020-11-16 21:50:49","2020-11-16 21:52:19",Passed,Completed
"Construção geométrica: Curvas e Lugar geométrico",Lesson,"2020-11-16 21:52:54","2020-11-16 21:52:54",,Completed
Introdução,Lesson,"2020-11-16 21:53:00","2020-11-16 21:53:00",,Completed
"Vamos nos conhecer um pouco",Lesson,"2020-11-16 21:53:06","2020-11-16 21:53:06",,Completed
"Mecanismos que descrevem movimentos harmônicos",Lesson,"2020-11-16 21:53:32","2020-11-16 21:53:32",,Completed
"Projeto de Mecanismo para desenhar padrões de Lissajous",Lesson,"2020-11-16 21:54:13","2020-11-16 21:54:13",,Completed
"Avaliação Final (Parte 1)",Quiz,"2020-11-16 21:54:17","2020-11-16 22:09:54",Failed,Completed
"Avaliação Final (Parte 2)",Quiz,"2020-11-16 22:12:01","2020-11-16 22:20:41",Failed,Completed
"Avaliação Final (Parte 3)",Quiz,"2020-11-16 22:20:55","2020-11-16 22:23:51",Passed,Completed
"Avaliação Final (Parte 4)",Quiz,"2020-11-16 22:24:04","2020-11-16 22:27:37",Passed,Completed
"Questionário Parte 1",Lesson,"2020-11-16 22:29:19","2020-11-16 22:29:19",,Completed
"Questionário Parte 2",Lesson,"2020-11-16 22:29:44","2020-11-16 22:29:44",,Completed
