Title,Type,"Start time","End time",Graduation,Status
Introdução,Lesson,"2020-08-10 18:37:27","2020-08-10 18:37:27",,Completed
"Avaliação de conhecimentos prévios",Quiz,"2020-08-10 18:37:34","2020-08-10 18:39:18",Passed,Completed
"Avaliação de conhecimentos prévios (Parte 2)",Quiz,"2020-08-10 18:45:40","2020-08-10 18:49:27",Passed,Completed
"Construção geométrica: Curvas e Lugar geométrico",Lesson,"2020-08-10 18:51:47","2020-08-10 18:51:47",,Completed
"Mecanismos que descrevem movimentos harmônicos",Lesson,"2020-08-10 18:56:06","2020-08-10 18:56:06",,Completed
"Projeto de Mecanismo para desenhar padrões de Lissajous",Lesson,"2020-08-10 18:56:37","2020-08-10 18:56:37",,Completed
"Avaliação Final (Parte 1)",Quiz,"2020-08-10 18:56:49","2020-08-10 19:14:49",Failed,Completed
"Avaliação Final (Parte 2)",Quiz,"2020-08-10 19:35:06","2020-08-10 19:43:52",Failed,Completed
"Avaliação Final (Parte 3)",Quiz,"2020-08-12 18:13:21","2020-08-12 18:21:05",Passed,Completed
"Avaliação Final (Parte 4)",Quiz,"2020-08-12 18:21:19","2020-08-12 18:31:39",Passed,Completed
"Questionário Parte 1",Lesson,"2020-08-12 18:38:54","2020-08-12 18:38:54",,Completed
"Questionário Parte 2",Lesson,"2020-08-12 18:53:37","2020-08-12 18:53:37",,Completed
