Title,Type,"Start time","End time",Graduation,Status
"Vamos nos conhecer um pouco",Lesson,"2021-08-19 10:52:28","2021-08-19 10:52:28",,Completed
Introdução,Lesson,"2021-08-19 10:53:28","2021-08-19 10:53:28",,Completed
"Avaliação de conhecimentos prévios",Quiz,"2021-08-19 10:53:32","2021-08-28 11:30:37",Passed,Completed
"Avaliação de conhecimentos prévios (Parte 2)",Quiz,"2021-08-28 11:31:07","2021-08-28 11:31:35",Passed,Completed
"Construção geométrica: Curvas e Lugar geométrico",Lesson,"2021-08-28 11:33:32","2021-08-28 11:33:32",,Completed
"Mecanismos que descrevem movimentos harmônicos",Lesson,"2021-08-28 11:34:16","2021-08-28 11:34:16",,Completed
"Projeto de Mecanismo para desenhar padrões de Lissajous",Lesson,"2021-08-28 11:34:43","2021-08-28 11:34:43",,Completed
"Avaliação Final (Parte 1)",Quiz,"2021-08-28 11:34:49","2021-08-28 11:43:59",Passed,Completed
"Avaliação Final (Parte 2)",Quiz,"2021-08-28 11:44:55","2021-08-28 11:45:19",Failed,Completed
"Avaliação Final (Parte 3)",Quiz,"2021-08-28 11:45:35","2021-08-28 11:45:59",Failed,Completed
"Avaliação Final (Parte 4)",Quiz,"2021-08-28 11:46:05","2021-08-28 11:46:18",Failed,Completed
"Questionário Parte 1",Lesson,"2021-08-28 11:46:54","2021-08-28 11:46:54",,Completed
"Questionário Parte 2",Lesson,"2021-08-28 11:46:57","2021-08-28 11:46:57",,Completed
