Title,Type,"Start time","End time",Graduation,Status
"Vamos nos conhecer um pouco",Lesson,"2021-08-20 09:22:43","2021-08-20 09:22:43",,Completed
Introdução,Lesson,"2021-09-13 11:38:11","2021-09-13 11:38:11",,Completed
"Avaliação de conhecimentos prévios",Quiz,"2021-09-13 11:38:18","2021-09-13 11:45:36",Passed,Completed
"Avaliação de conhecimentos prévios (Parte 2)",Quiz,"2021-09-13 11:45:53","2021-09-13 11:48:42",Passed,Completed
"Construção geométrica: Curvas e Lugar geométrico",Lesson,"2021-09-13 11:54:25","2021-09-13 11:54:25",,Completed
"Mecanismos que descrevem movimentos harmônicos",Lesson,"2021-09-13 11:57:46","2021-09-13 11:57:46",,Completed
"Projeto de Mecanismo para desenhar padrões de Lissajous",Lesson,"2021-09-13 12:01:37","2021-09-13 12:01:37",,Completed
"Avaliação Final (Parte 1)",Quiz,"2021-09-13 12:06:37","2021-09-13 12:28:24",Passed,Completed
"Avaliação Final (Parte 2)",Quiz,"2021-09-13 12:28:41","2021-09-13 12:44:03",Failed,Completed
"Avaliação Final (Parte 3)",Quiz,"2021-09-13 12:44:15","2021-09-13 12:57:02",Failed,Completed
"Avaliação Final (Parte 4)",Quiz,"2021-09-13 12:58:15","2021-09-13 13:00:32",Passed,Completed
"Questionário Parte 1",Lesson,"2021-09-13 13:03:06","2021-09-13 13:03:06",,Completed
"Questionário Parte 2",Lesson,"2021-09-13 13:11:44","2021-09-13 13:11:44",,Completed
